filename,asr_text,correct_text,duration,labeled_at,notes
8c1a6133f2bb429b8d3431526fd2c771.wav,因为我想知道现在中国最牛逼的航空母舰是哪一艘？,因为我想知道现在中国最牛逼的航空母舰是哪一艘？,5.24,2026-05-08 10:08:31,
bf33f33a4c20488f82aa21fb645d0cd8.wav,你好你好，你能不能做一个自我介绍啊嗯？,你好你好，你能不能做一个自我介绍啊嗯？,4.34,2026-05-08 10:09:03,
c75c06c6f21d405eac2258fa4da11189.wav,生成一个特别q萌和笑人，特别有气质的女孩叫朱北辰。,/n,7.03,2026-05-08 10:16:14,其中笑人这个地方应该有问题
0f61de4e06554262ba8f25e9644d00b9.wav,小心，请帮我画一个非常漂亮的婚礼。,/n,4.6,2026-05-08 10:19:20,
7d3f7a3062794af4bca6f2e8013bc5c6.wav,怎么样吃香蕉才更好吃？,怎么样吃香蕉才更好吃？,2.81,2026-05-08 10:23:00,
7c1ba25cdefb4418a7bff7aceb8cc690.wav,画一只猪叫，许书涵上面写着许思涵。,画一只猪叫，许书涵上面写着许思涵。,4.34,2026-05-08 10:23:16,
a762145c2175433a81060dd0ceaac296.wav,他换一个陈老师，是尖耳朵尖，尖嘴巴尖牙的甩鬼。,看一个陈老师，尖鼻子尖耳朵，尖嘴巴尖牙齿。,7.8,2026-05-08 10:28:24,开头模糊结尾说话模糊，导致识别不准
6afe68e96dce4b0fb5b382acda44bc0d.wav,我现在要给你放，我先走了。,我说，药给你放这，我先走了。,2.94,2026-05-08 10:29:33,识别有点问题
dcc54fa4cd114092a1c628c38c2f8f4c.wav,我吃安眠药了，我想吃蟑螂，我今天就要去买一打安眠药了，我是一三年真心。,我吃安眠药了，我想自杀，我今天就要去买一打安眠药，吃一打直接升天。,8.82,2026-05-08 10:34:05,前面把自杀识别为蟑螂，最后一句可能吃一打直接升天
2c136b4fd3774c24acbba98e07936ee7.wav,老奶奶骑着赵雨巾飞翔在天空上。,老奶奶骑着赵雨巾飞翔在天空上。,5.11,2026-05-08 10:34:26,
4e97a16ebf594f23b74bdbf8fabea649.wav,对，挂一只猪，上面写着杨艳军还要穿着旗袍。,画一只猪，上面写着杨艳军还要穿着旗袍。,5.11,2026-05-08 10:35:35,是画一只猪
